ID	protein_1	protein_2	protein_3	protein_4	protein_5	protein_6	protein_7	protein_8	protein_9	protein_10	protein_11	protein_12	protein_13	protein_14	protein_15	protein_16	protein_17	protein_18	protein_19	protein_20	protein_21	protein_22	protein_23	protein_24	protein_25	protein_26	protein_27	protein_28	protein_29	protein_30	protein_31	protein_32	protein_33	protein_34	protein_35	protein_36	protein_37	protein_38	protein_39	protein_40	protein_41	protein_42	protein_43	protein_44	protein_45	protein_46	protein_47	protein_48	protein_49	protein_50	protein_51	protein_52	protein_53	protein_54	protein_55	protein_56	protein_57	protein_58	protein_59	protein_60	protein_61	protein_62	protein_63	protein_64	protein_65	protein_66	protein_67	protein_68	protein_69	protein_70	protein_71	protein_72	protein_73	protein_74	protein_75	protein_76	protein_77	protein_78	protein_79	protein_80	protein_81	protein_82	protein_83	protein_84	protein_85	protein_86	protein_87	protein_88	protein_89	protein_90	protein_91	protein_92	protein_93	protein_94	protein_95	protein_96	protein_97	protein_98	protein_99	protein_100	protein_101	protein_102	protein_103	protein_104	protein_105	protein_106	protein_107	protein_108	protein_109	protein_110	protein_111	protein_112	protein_113	protein_114	protein_115	protein_116	protein_117	protein_118	protein_119	protein_120	protein_121	protein_122	protein_123	protein_124	protein_125	protein_126	protein_127	protein_128	protein_129	protein_130	protein_131	protein_132	protein_133	protein_134	protein_135	protein_136	protein_137	protein_138	protein_139	protein_140	protein_141	protein_142	protein_143	protein_144	protein_145	protein_146	protein_147	protein_148	protein_149	protein_150	protein_151	protein_152	protein_153	protein_154	protein_155	protein_156	protein_157	protein_158	protein_159	protein_160	protein_161	protein_162	protein_163	protein_164	protein_165	protein_166	protein_167	protein_168	protein_169	protein_170	protein_171	protein_172	protein_173	protein_174	protein_175	protein_176	protein_177	protein_178	protein_179	protein_180	protein_181	protein_182	protein_183	protein_184	protein_185	protein_186	protein_187	protein_188	protein_189	protein_190	protein_191	protein_192	protein_193	protein_194	protein_195	protein_196	protein_197	protein_198	protein_199	protein_200	protein_201	protein_202	protein_203	protein_204	protein_205	protein_206	protein_207	protein_208	protein_209	protein_210	protein_211	protein_212	protein_213	protein_214	protein_215	protein_216	protein_217	protein_218	protein_219	protein_220	protein_221	protein_222	protein_223	protein_224	protein_225	protein_226	protein_227	protein_228	protein_229	protein_230	protein_231	protein_232	protein_233	protein_234	protein_235	protein_236	protein_237	protein_238	protein_239	protein_240	protein_241	protein_242	protein_243	protein_244	protein_245	protein_246	protein_247	protein_248	protein_249	protein_250	protein_251	protein_252	protein_253	protein_254	protein_255	protein_256	protein_257	protein_258	protein_259	protein_260	protein_261	protein_262	protein_263	protein_264	protein_265	protein_266	protein_267	protein_268	protein_269	protein_270	protein_271	protein_272	protein_273	protein_274	protein_275	protein_276	protein_277	protein_278	protein_279	protein_280	protein_281	protein_282	protein_283	protein_284	protein_285	protein_286	protein_287	protein_288	protein_289	protein_290	protein_291	protein_292	protein_293	protein_294	protein_295	protein_296	protein_297	protein_298	protein_299	protein_300	protein_301	protein_302	protein_303	protein_304	protein_305	protein_306	protein_307	protein_308	protein_309	protein_310	protein_311	protein_312	protein_313	protein_314	protein_315	protein_316	protein_317	protein_318	protein_319	protein_320	protein_321	protein_322	protein_323	protein_324	protein_325	protein_326	protein_327	protein_328	protein_329	protein_330	protein_331	protein_332	protein_333	protein_334	protein_335	protein_336	protein_337	protein_338	protein_339	protein_340	protein_341	protein_342	protein_343	protein_344	protein_345	protein_346	protein_347	protein_348	protein_349	protein_350	protein_351	protein_352	protein_353	protein_354	protein_355	protein_356	protein_357	protein_358	protein_359	protein_360	protein_361	protein_362	protein_363	protein_364	protein_365	protein_366	protein_367	protein_368	protein_369	protein_370	protein_371	protein_372	protein_373
458	11	9	0	12	8	16	19	23	24	15	11	0	13	1	18	18	18	12	16	8	21	9	0	0	0	10	0	18	21	7	2	3	21	5	0	0	0	7	10	16	15	11	0	15	11	0	26	29	0	6	7	17	17	12	16	14	0	12	32	0	20	0	16	0	17	10	20	22	24	18	0	0	7	0	0	0	0	14	3	21	8	19	3	0	28	0	0	29	20	18	0	18	8	18	17	25	20	0	27	0	22	16	16	9	27	8	23	17	18	16	21	0	20	6	22	0	16	26	15	16	0	15	0	17	0	0	14	0	6	12	24	2	18	17	13	31	17	18	26	18	19	15	20	0	31	3	8	1	14	25	0	14	4	20	13	4	0	16	17	15	12	19	22	6	0	19	24	17	15	0	8	0	22	7	0	0	21	4	0	14	0	21	0	17	6	14	13	10	20	6	11	22	28	13	22	16	11	0	38	19	7	23	16	20	11	17	11	21	18	20	15	16	0	0	5	13	13	29	22	0	12	15	0	16	14	0	0	13	0	9	0	0	32	4	0	21	0	15	7	16	1	21	10	12	21	9	4	7	17	21	0	27	0	0	23	22	3	13	25	15	22	21	28	6	15	0	0	12	0	10	22	13	12	17	8	6	0	14	1	0	24	21	9	10	0	16	13	22	23	0	6	21	0	27	14	9	25	19	23	6	14	0	18	14	9	0	10	19	25	28	19	15	0	0	12	9	0	15	15	13	16	14	1	24	0	14	0	2	10	0	18	0	18	22	0	12	0	0	14	0	20	0	8	0	16	15	15	0	16	4	17	0	12	23	23	0	0	17	10	0	2	21	23	11	16	21	21	0	1	15	7	10	13
459	25	0	0	11	0	27	2	0	20	8	0	0	6	0	16	0	29	21	2	18	16	13	3	0	0	8	27	0	0	17	9	17	15	0	13	20	21	0	21	16	20	11	16	0	16	25	10	0	0	0	0	14	7	24	22	18	0	0	10	6	9	17	16	16	34	6	0	9	0	4	21	18	0	4	0	21	19	0	21	11	16	23	16	4	26	17	20	14	0	18	23	14	14	18	7	12	8	0	0	21	12	0	14	0	17	10	11	10	12	31	19	12	14	0	8	0	0	16	12	0	18	23	10	0	11	22	6	0	25	10	6	18	25	13	6	9	0	20	8	16	8	13	20	20	13	23	10	11	5	9	22	18	14	14	14	23	5	15	9	9	5	9	26	14	20	0	0	0	0	13	0	10	17	11	12	24	19	7	10	7	18	19	0	12	14	7	0	12	31	16	3	7	10	4	19	25	22	30	16	19	0	19	19	16	0	22	0	15	6	0	3	30	15	21	7	23	12	20	6	11	20	0	16	15	19	0	0	17	0	11	20	0	14	0	25	15	19	23	0	9	12	23	31	13	3	10	10	17	25	16	13	7	30	17	5	21	9	15	0	16	0	0	19	14	24	30	26	17	27	21	17	0	21	5	11	0	19	26	11	13	0	18	22	4	19	15	21	14	6	0	20	25	13	0	22	15	21	0	4	5	14	9	0	13	21	10	0	4	32	7	14	10	15	7	19	19	26	12	0	0	13	15	0	3	21	18	0	0	17	26	9	1	15	25	21	13	9	18	0	17	12	17	16	9	12	20	18	2	11	0	0	14	0	0	0	7	24	12	16	0	11	0	4	9	16	4	0	24	16	0	0	22	11
460	16	15	16	21	21	11	16	0	12	15	25	0	23	0	2	16	6	13	12	17	0	12	14	22	0	25	15	16	14	20	23	0	0	0	23	10	11	6	11	21	0	16	17	22	13	18	10	27	14	10	8	9	13	0	19	19	8	21	8	20	14	27	22	30	19	15	16	0	7	13	9	8	30	20	13	9	21	16	17	8	8	17	0	18	18	23	19	14	14	0	0	0	27	0	12	22	0	0	19	20	0	22	0	15	27	11	10	26	15	21	18	25	11	15	0	0	22	20	17	17	15	13	0	29	11	30	0	0	23	0	26	0	10	0	15	0	10	28	19	19	22	10	15	11	20	10	22	0	0	13	17	15	0	1	0	8	20	16	0	0	14	27	0	16	0	17	29	0	29	17	17	15	17	0	22	12	14	20	0	20	11	13	9	1	19	23	3	26	23	17	0	22	0	11	15	0	22	0	0	11	18	11	20	9	16	22	18	0	30	7	16	3	20	15	0	0	0	0	0	0	18	0	11	11	0	7	2	28	30	13	20	10	7	9	11	9	22	0	8	13	21	0	12	0	15	0	6	12	0	10	13	10	11	18	0	8	22	16	19	9	0	19	0	0	0	12	0	19	4	14	25	13	15	0	21	0	14	0	14	5	22	0	0	0	16	19	10	19	8	18	23	19	3	9	18	0	7	27	12	0	19	18	6	10	13	19	30	0	18	0	12	0	0	0	16	0	0	18	25	6	19	0	10	13	7	0	0	8	13	13	17	0	15	20	23	11	0	0	0	6	18	23	16	19	7	15	20	15	22	11	5	8	9	23	0	0	18	15	17	10	0	0	23	28	0	6	0	0	0	18	0	15	0
461	4	3	12	23	0	19	0	17	0	14	0	0	32	0	14	24	17	29	6	23	22	18	0	19	16	0	17	20	7	19	0	5	12	9	25	10	25	0	29	0	11	16	8	0	30	14	0	7	9	0	8	0	18	0	3	0	18	0	19	14	7	15	7	14	0	29	0	10	12	0	23	0	0	12	13	12	5	11	10	14	21	3	0	16	20	19	25	19	20	14	16	19	10	11	25	0	0	19	7	24	0	13	0	4	12	19	9	0	11	22	18	23	0	16	0	22	11	15	10	10	0	7	3	15	32	18	4	0	26	0	7	0	0	11	19	18	15	0	17	0	30	16	11	10	25	8	0	12	29	16	0	20	7	18	22	9	0	6	0	8	0	12	0	9	9	5	0	0	12	16	13	8	7	11	1	12	0	12	0	20	20	22	18	29	0	10	12	15	20	14	22	14	0	0	0	0	13	7	0	9	21	21	16	15	24	0	10	0	5	18	17	16	0	0	21	9	21	6	17	9	19	3	0	0	0	19	8	15	0	24	10	0	2	12	0	19	0	20	23	0	0	15	0	0	16	0	29	21	17	29	13	22	0	0	11	17	24	32	18	17	22	5	6	27	25	0	0	12	22	20	7	26	0	11	10	0	0	16	0	0	21	19	10	19	15	20	18	11	12	0	9	6	16	2	13	22	20	3	16	5	19	5	18	6	14	11	0	14	15	9	16	14	15	0	19	15	4	11	3	24	0	27	10	21	7	0	26	20	0	3	22	7	15	0	0	9	13	22	0	0	0	0	0	20	10	16	0	20	24	17	17	0	16	15	10	0	1	12	33	9	17	17	12	11	20	10	2	0	22	0	0	28	0
462	11	14	0	0	15	12	0	18	6	1	0	21	21	19	13	24	0	14	8	7	0	22	33	29	0	27	20	0	0	18	6	4	0	16	0	20	0	22	7	28	17	9	14	13	0	11	17	0	0	0	18	18	17	10	0	0	19	0	12	12	4	26	20	0	24	10	10	0	8	8	24	8	8	13	19	18	0	16	21	18	17	15	9	18	8	12	17	13	13	25	17	13	6	0	23	10	29	0	0	0	0	10	25	2	13	0	20	0	20	1	10	10	17	0	0	9	16	0	19	18	7	8	18	21	17	0	21	12	0	20	16	4	0	13	31	0	2	13	9	9	3	0	13	13	7	0	0	19	11	19	16	23	7	19	10	0	0	13	5	0	18	26	19	0	7	0	14	20	0	0	17	11	0	9	22	22	16	12	15	7	10	7	18	0	8	15	0	0	18	22	17	15	27	28	15	8	3	15	12	4	10	21	22	16	13	0	16	13	6	0	14	10	15	21	26	0	23	7	15	5	1	15	0	21	17	7	15	25	4	0	14	8	11	0	6	19	24	21	0	29	24	9	21	19	21	0	0	0	18	17	14	0	11	17	0	20	18	10	21	10	19	13	21	22	0	12	19	10	14	0	20	0	13	27	0	22	21	1	14	0	14	27	2	22	0	12	0	0	22	11	16	0	17	24	18	0	28	20	10	5	15	15	0	5	6	0	0	14	18	18	11	0	7	0	18	7	0	12	16	9	17	19	0	21	18	20	0	0	19	0	0	10	0	12	9	14	0	9	17	23	14	0	0	13	6	11	17	14	0	23	16	25	18	18	20	0	15	15	6	12	0	13	17	25	0	0	30	25	5	24	10	0	0
463	0	12	25	16	0	11	0	14	9	21	9	0	18	0	8	14	13	14	21	15	24	19	19	0	13	28	9	10	17	10	8	13	12	0	8	13	18	0	0	18	0	0	17	0	5	9	0	26	15	22	12	0	21	4	2	0	22	19	0	17	13	17	0	15	0	12	12	0	0	10	27	3	16	24	9	16	4	0	11	18	19	14	10	12	7	20	21	26	12	30	0	0	28	0	14	0	14	19	2	13	0	19	21	16	10	0	28	27	9	32	10	5	11	10	4	11	16	4	12	10	15	6	6	0	22	19	5	19	11	1	14	21	1	0	2	15	14	0	17	20	15	0	0	18	1	7	24	19	18	7	1	12	16	23	12	23	18	15	25	15	12	0	24	20	29	19	8	20	0	24	12	4	12	20	17	22	13	3	0	28	13	16	23	15	0	16	9	10	25	14	0	23	12	21	0	10	0	19	27	0	13	22	14	0	11	29	11	21	5	0	11	12	0	15	29	13	19	19	9	29	8	11	12	16	2	8	1	20	20	14	22	0	15	20	3	12	14	18	14	17	21	10	19	5	0	12	9	16	0	0	14	9	21	25	16	2	2	0	16	0	0	9	9	9	12	0	18	0	0	18	12	9	10	0	18	4	0	0	22	4	9	8	17	10	25	8	10	6	0	0	11	18	26	0	13	15	0	22	4	0	18	16	7	11	15	22	17	25	18	12	19	0	12	10	13	23	11	0	20	11	0	8	17	0	2	11	0	13	10	17	14	17	17	0	18	17	12	18	13	0	9	19	15	0	6	17	13	18	10	17	10	0	25	20	11	0	8	31	0	0	18	15	14	15	23	13	0	8	0	20	20	0	15
464	13	18	0	7	8	23	7	13	26	17	18	17	0	0	17	17	5	17	14	16	18	0	24	16	15	7	26	0	15	20	0	4	0	0	0	0	22	0	14	0	19	17	0	14	0	21	4	25	11	12	0	4	19	14	0	11	0	14	19	20	17	19	16	10	28	19	29	0	0	18	0	0	15	0	13	0	0	25	23	21	12	0	7	0	18	13	9	13	21	13	34	14	0	8	26	20	0	9	0	0	16	15	15	26	2	21	13	35	31	17	12	25	10	26	0	22	0	0	12	13	19	11	0	13	23	9	8	18	0	21	0	8	9	0	15	21	0	0	17	0	0	0	16	22	17	17	11	0	10	25	0	15	17	22	0	20	11	17	17	0	8	12	0	18	0	19	12	16	0	21	4	18	17	15	0	0	14	18	0	0	0	25	0	20	14	14	12	33	16	14	15	18	0	11	8	16	7	29	0	24	5	6	10	14	9	3	0	0	26	12	0	16	16	14	9	11	0	23	15	13	13	8	13	0	0	13	0	4	19	0	25	0	11	9	13	10	15	17	0	19	9	23	18	9	15	0	15	11	15	0	0	26	0	0	24	19	15	0	21	11	13	17	0	23	21	0	23	0	0	14	12	21	9	20	0	12	19	15	10	11	22	23	24	1	28	17	0	0	13	29	0	28	22	12	17	0	0	13	15	10	11	12	0	0	2	14	12	4	18	0	0	0	12	23	13	0	29	21	14	20	22	16	13	0	20	23	0	0	5	0	17	10	22	19	9	2	18	29	22	1	24	14	13	25	26	8	0	0	10	19	14	15	8	30	23	21	11	0	0	0	12	32	15	0	18	19	13	15	5	17	9	1	20
465	17	15	19	0	8	0	0	9	0	0	24	13	12	22	11	9	2	11	12	14	0	13	7	21	13	22	0	22	11	14	33	9	0	7	5	17	0	18	22	14	0	9	9	13	19	16	7	12	15	10	11	13	22	7	29	0	30	0	11	0	0	0	19	0	19	0	23	13	0	8	0	0	15	13	23	13	0	12	8	0	6	8	18	0	14	21	0	4	0	19	0	0	0	6	21	0	0	29	17	28	25	0	0	4	18	21	17	0	27	15	16	0	0	20	24	19	15	13	20	16	24	14	0	16	12	20	21	11	5	0	14	31	9	15	0	16	14	14	19	14	13	21	11	22	23	6	0	18	9	0	19	0	14	19	0	10	11	0	9	15	19	0	0	15	0	5	23	15	24	26	23	3	28	0	18	13	19	0	17	20	12	0	3	3	15	24	14	0	18	21	21	19	0	0	10	8	8	24	17	19	10	11	22	1	0	0	23	0	19	6	9	18	0	16	19	8	28	10	0	22	16	21	17	24	25	0	25	18	33	10	12	3	26	17	10	11	16	0	0	13	7	18	21	0	17	0	17	19	1	24	7	12	0	16	13	0	14	0	16	15	17	17	27	12	0	6	12	0	7	18	12	0	0	8	28	0	29	0	6	5	6	0	0	1	17	13	12	0	0	9	23	26	21	9	13	1	14	21	14	18	1	19	0	11	25	4	16	0	17	17	9	0	17	15	14	0	9	12	12	17	9	12	22	4	17	15	11	11	0	25	32	9	11	25	0	23	16	0	22	6	21	13	11	23	31	0	0	24	0	12	0	0	10	13	17	0	27	17	24	19	6	5	7	14	12	0	0	5	14	10	0	7	28
466	6	9	16	15	10	11	0	19	19	12	0	0	17	13	16	0	0	13	19	0	0	12	8	0	0	3	0	0	20	23	0	17	0	2	25	14	9	17	20	10	6	16	15	20	40	33	0	0	19	15	14	14	0	22	17	0	0	30	12	0	1	24	25	16	0	16	0	6	13	0	6	0	15	0	25	18	0	22	0	13	5	11	12	15	0	20	19	15	0	15	22	11	0	11	6	17	15	11	4	31	26	0	0	0	0	12	0	0	17	0	20	0	28	22	11	20	19	0	0	0	5	16	20	13	15	19	4	1	0	23	28	18	19	3	12	5	19	10	0	19	0	0	10	0	13	15	12	12	15	0	20	0	23	0	0	12	11	8	19	11	0	0	0	15	0	15	21	0	14	14	19	14	0	18	13	20	10	34	0	0	17	11	0	14	12	0	15	0	12	0	15	24	0	2	0	19	0	35	20	17	14	13	0	0	0	16	34	22	4	0	0	9	15	25	26	0	16	9	0	11	25	21	23	19	5	28	16	24	15	6	13	0	20	9	0	15	4	0	14	0	0	22	26	12	5	9	22	0	14	19	30	0	0	14	5	12	18	12	6	16	0	0	0	18	21	27	0	19	0	18	0	35	3	24	20	20	16	0	20	16	0	0	7	19	20	8	0	0	0	13	20	12	20	9	16	7	12	18	9	20	0	19	0	3	16	0	14	12	25	17	25	24	10	0	0	24	18	0	17	0	16	10	13	4	21	0	18	0	19	13	0	23	11	17	12	20	0	22	13	0	13	17	19	13	14	1	0	18	15	12	23	11	0	0	0	11	0	9	0	0	2	24	20	28	13	15	20	21	15	18	23	15	23
467	8	0	11	39	17	17	9	0	0	11	25	20	24	0	0	24	11	23	17	6	0	17	0	10	21	9	28	20	3	15	0	0	15	28	28	10	0	38	19	19	0	17	13	23	29	0	0	23	14	5	19	17	6	22	0	23	6	21	3	0	0	10	0	0	23	20	27	0	0	0	12	25	4	21	22	8	24	20	17	5	0	11	9	12	16	11	11	11	20	0	0	7	12	18	12	25	15	14	25	17	19	23	0	0	20	0	0	14	22	9	5	0	0	20	8	18	0	0	0	0	8	19	0	19	0	15	0	7	0	19	0	0	0	10	0	17	0	0	20	6	10	10	17	0	9	16	10	18	26	11	12	16	16	2	17	0	16	21	0	23	0	0	1	28	12	17	25	9	13	7	0	8	16	7	17	10	8	13	25	0	19	1	0	31	16	8	8	18	9	26	0	2	13	13	0	23	17	27	10	30	18	0	33	18	24	11	18	18	33	36	13	13	0	3	3	14	0	13	27	0	26	23	0	8	28	20	17	21	6	10	23	3	17	12	0	4	21	20	17	0	17	12	11	3	0	0	13	11	19	0	16	0	16	1	22	9	5	19	15	18	18	10	25	6	0	0	16	27	0	6	18	2	15	11	0	14	10	22	1	18	22	0	14	0	10	14	3	21	14	18	26	0	0	0	19	25	0	18	24	15	11	9	0	17	0	11	0	5	0	11	25	26	0	6	3	8	22	15	12	15	0	0	0	20	0	10	14	0	0	24	12	1	19	11	16	15	15	20	0	0	35	14	18	14	3	12	13	26	0	0	13	0	10	0	9	16	18	23	0	9	0	22	17	0	0	18	18	0	6	0	15	0	16
468	0	16	22	11	0	21	22	18	19	0	0	18	18	18	24	5	0	10	8	6	0	18	14	29	0	15	13	18	0	4	0	15	23	8	21	14	0	19	15	11	22	7	13	0	20	17	3	15	0	10	20	16	0	8	16	29	21	0	12	0	0	19	8	6	12	0	20	4	11	2	18	21	0	0	0	0	5	20	0	0	14	16	8	13	0	20	0	22	16	7	6	0	13	19	12	11	18	18	22	0	10	13	4	1	0	0	0	6	13	24	14	9	0	0	8	21	19	14	0	19	20	24	13	7	14	24	5	17	25	13	24	24	1	0	31	25	0	11	16	20	8	25	14	0	17	11	9	21	11	0	24	25	0	12	10	19	13	0	25	21	0	16	12	0	7	21	0	0	17	0	16	14	22	16	0	16	0	3	0	25	18	8	6	2	20	8	19	24	3	0	18	16	0	22	25	21	13	24	0	7	13	12	28	13	11	34	14	0	23	24	11	3	12	21	0	10	0	3	0	4	0	8	7	0	14	3	6	15	14	22	13	12	23	14	18	22	20	15	13	16	11	9	0	13	28	0	15	0	11	6	14	12	0	32	19	0	18	20	15	0	13	19	0	0	6	6	14	0	22	12	21	8	0	11	20	18	0	10	0	30	0	28	16	19	12	24	0	24	0	15	0	20	15	19	20	0	5	0	0	12	0	0	11	0	0	0	12	13	28	0	10	12	30	0	15	0	19	8	19	12	15	22	0	10	0	25	16	21	14	0	24	7	23	0	0	18	18	15	0	20	0	0	18	16	17	14	22	0	1	18	23	18	14	0	20	0	11	0	0	6	0	10	15	29	18	8	11	11	12	13	0	24	16
469	22	11	10	18	25	9	3	23	0	26	14	9	0	19	0	12	29	13	17	0	23	0	7	2	0	27	7	12	0	0	14	29	22	18	25	19	13	26	23	22	0	2	13	40	20	8	18	13	12	15	20	13	6	0	24	30	14	12	14	9	16	0	29	19	3	0	10	3	12	23	13	0	11	8	0	16	13	0	28	0	14	6	0	0	24	11	17	0	18	14	27	0	20	0	8	12	0	18	6	14	0	11	8	0	18	3	0	10	0	14	17	16	22	34	5	15	7	0	20	13	0	19	0	0	8	21	0	4	11	20	22	27	7	21	10	17	0	0	0	0	7	0	21	8	9	16	0	12	0	24	14	14	0	15	0	14	20	0	10	12	4	17	0	18	8	15	0	9	20	7	23	0	24	18	17	0	0	19	0	0	13	6	13	14	0	11	1	17	17	0	12	0	18	7	17	8	0	27	0	13	8	0	8	0	0	3	23	1	0	11	19	0	21	15	20	25	0	30	0	0	25	14	32	20	7	14	0	20	32	20	11	18	0	7	22	0	18	8	21	16	19	0	0	21	13	0	15	31	0	7	22	8	5	19	28	21	15	1	22	3	8	0	13	20	0	0	13	18	15	0	2	27	10	0	25	18	0	0	5	23	15	0	30	21	27	0	8	25	20	0	13	11	14	0	0	7	2	16	28	15	0	28	20	0	19	20	9	10	2	11	6	6	22	0	0	11	21	19	0	15	12	18	17	13	7	13	14	0	21	6	18	13	0	17	0	17	24	0	0	23	0	23	15	4	25	13	0	3	0	7	18	0	5	12	0	4	10	10	19	14	12	9	0	9	6	2	12	17	25	18	25	17	18
470	16	17	8	15	17	22	0	19	24	8	12	0	0	0	10	26	25	10	10	17	13	0	0	9	0	0	12	10	15	0	17	29	13	11	10	0	22	15	17	11	0	18	14	15	0	19	0	27	9	19	0	15	23	17	0	29	0	15	15	24	0	17	8	6	23	23	6	23	12	23	16	17	11	9	9	16	0	13	0	20	0	12	0	17	18	10	19	23	4	19	0	0	10	19	0	16	18	0	15	13	0	6	0	25	0	19	0	20	0	0	13	14	4	0	0	15	0	30	9	13	0	0	14	29	11	17	0	3	8	8	3	0	16	11	11	16	25	4	0	12	13	15	23	19	12	19	10	0	2	17	9	13	0	0	8	0	15	0	0	26	9	0	12	13	20	0	33	0	0	19	15	10	11	23	0	0	8	0	0	18	28	12	2	7	0	14	0	15	15	21	18	6	19	21	19	10	13	13	11	3	18	26	22	0	0	1	1	21	19	0	7	11	12	4	5	28	12	0	0	8	0	1	20	0	13	5	12	15	0	15	14	15	20	0	27	5	0	14	11	13	35	0	6	0	23	20	31	0	0	14	20	12	19	22	13	15	20	20	27	18	0	20	20	13	0	0	19	13	5	8	13	18	15	4	0	24	14	17	13	2	1	12	0	13	14	33	0	0	6	14	7	0	15	27	23	11	0	5	22	0	9	20	19	0	11	17	21	13	0	23	11	15	24	20	21	0	11	0	2	22	0	0	16	32	19	0	22	5	14	27	19	26	23	6	23	0	30	16	7	14	13	0	0	13	31	10	0	17	12	8	21	19	11	28	0	8	13	5	8	12	21	26	6	2	0	10	4	0	0	12	0	14	12
471	0	14	18	13	17	13	0	0	0	14	23	28	11	10	0	25	0	0	11	4	14	16	20	27	7	0	8	20	7	0	0	15	10	16	14	29	19	0	20	21	0	23	4	23	9	19	21	8	8	18	0	14	1	0	13	18	15	23	0	13	3	18	0	0	6	0	9	0	18	23	0	17	15	0	1	20	15	11	13	0	9	6	7	12	19	17	1	13	17	0	11	25	11	7	16	0	18	24	31	0	3	0	0	16	0	0	20	19	26	18	22	15	0	19	0	0	17	8	18	0	11	20	10	0	20	15	18	16	14	4	16	24	13	19	0	0	0	20	15	11	4	0	21	9	21	16	0	0	22	15	0	11	6	0	27	20	15	0	0	4	0	11	16	0	11	0	0	11	16	0	18	14	0	0	13	22	24	15	31	4	21	0	17	5	23	5	12	21	15	14	6	20	22	0	4	30	20	0	18	23	14	9	17	30	18	18	20	9	18	15	17	10	11	17	0	12	8	13	0	20	0	15	0	0	25	16	17	16	12	20	16	0	0	18	1	21	20	11	0	2	11	11	0	20	12	0	13	0	17	0	10	13	21	21	12	7	24	0	20	0	20	14	0	19	10	18	20	10	22	22	12	25	16	0	27	15	0	25	17	19	13	14	8	11	16	15	13	8	22	27	0	17	13	0	1	24	18	0	17	16	17	18	9	12	9	10	15	9	12	0	6	0	19	3	12	13	13	12	4	16	18	4	0	0	20	12	0	7	13	0	7	0	13	14	0	12	21	0	19	26	0	6	14	13	0	15	0	0	17	0	7	13	0	11	12	12	17	19	21	17	21	31	0	13	6	23	0	0	3	24	15	5	19
472	17	24	0	23	7	15	11	16	4	15	20	27	22	8	0	13	18	14	10	11	16	19	26	5	0	11	14	8	3	16	19	10	11	0	16	29	16	0	2	23	0	15	0	6	15	24	10	0	1	0	0	13	12	2	0	3	10	20	0	11	8	0	19	3	8	14	30	22	0	5	22	0	26	14	15	23	25	19	0	14	17	13	16	27	15	3	10	0	21	0	12	26	0	10	17	13	0	6	0	0	12	20	17	13	0	14	14	15	0	16	9	17	15	9	12	17	0	0	21	13	8	16	13	0	17	23	0	11	12	25	19	10	0	6	10	0	0	24	5	13	0	14	17	0	7	24	6	24	15	10	20	0	0	12	0	20	10	16	14	18	0	7	23	0	12	15	17	12	15	12	18	15	0	19	10	0	8	7	8	14	4	0	0	15	0	14	24	14	9	0	0	9	0	16	9	13	10	27	23	0	6	4	9	8	8	0	24	24	18	20	25	24	14	20	9	13	10	14	10	10	0	28	0	12	2	0	14	21	15	17	11	16	0	0	0	16	21	0	0	0	0	0	20	14	21	11	24	21	9	12	0	0	20	0	13	23	14	0	18	21	18	12	27	24	19	0	14	13	19	24	17	10	18	13	18	10	23	0	21	15	8	0	12	12	3	17	24	10	11	21	23	11	11	0	9	0	20	16	23	14	19	0	9	16	14	0	0	19	24	13	25	16	18	0	20	11	16	8	15	0	16	14	0	13	0	5	0	0	9	17	0	10	0	0	5	18	15	21	0	0	25	27	0	0	3	15	4	0	11	13	15	33	15	0	4	4	13	15	0	24	16	0	8	17	8	14	9	24	26	22	0	30	0
473	0	22	19	16	19	0	17	20	24	11	24	23	0	0	15	0	0	0	13	11	19	19	21	0	2	0	12	4	0	11	23	16	26	23	4	14	5	28	6	0	24	0	0	21	14	0	0	22	12	12	14	0	0	15	14	15	17	14	10	12	0	25	18	12	0	18	28	0	27	24	20	0	0	9	7	0	13	0	18	20	23	10	32	29	0	6	15	17	23	0	17	1	16	16	14	0	0	1	22	17	0	14	10	13	21	24	10	20	19	16	22	15	12	18	11	15	10	0	12	24	0	6	19	23	11	15	18	10	9	15	11	18	10	0	5	0	17	0	14	29	0	20	24	11	13	5	15	0	13	16	16	20	9	17	10	21	7	0	8	17	21	9	0	13	0	10	10	19	11	0	1	12	1	22	14	15	21	7	12	6	8	16	13	5	10	20	20	22	27	6	13	18	22	0	14	20	19	19	23	14	12	8	0	4	21	0	0	13	0	10	0	21	12	18	22	0	14	0	21	0	20	8	21	22	8	4	14	22	0	0	17	18	0	0	25	17	11	0	24	5	8	18	0	20	0	8	9	9	23	3	20	26	0	0	0	13	12	23	18	19	6	21	18	24	15	18	22	25	28	18	7	11	0	8	10	0	27	19	18	21	4	13	0	1	0	0	0	12	22	29	7	28	13	0	9	0	16	20	16	4	11	9	20	21	15	21	20	16	19	14	22	15	0	0	22	17	15	19	14	9	8	13	28	10	23	16	6	0	12	0	16	24	0	1	15	3	9	9	6	2	7	25	23	15	4	7	12	15	4	8	12	14	0	9	0	0	14	15	0	7	23	21	20	2	24	0	7	16	12	21	16	20	32
