ID	targeted_metabolomics_1	targeted_metabolomics_2	targeted_metabolomics_3	targeted_metabolomics_4	targeted_metabolomics_5	targeted_metabolomics_6	targeted_metabolomics_7	targeted_metabolomics_8	targeted_metabolomics_9	targeted_metabolomics_10	targeted_metabolomics_11	targeted_metabolomics_12	targeted_metabolomics_13	targeted_metabolomics_14	targeted_metabolomics_15	targeted_metabolomics_16	targeted_metabolomics_17	targeted_metabolomics_18	targeted_metabolomics_19	targeted_metabolomics_20	targeted_metabolomics_21	targeted_metabolomics_22	targeted_metabolomics_23	targeted_metabolomics_24	targeted_metabolomics_25	targeted_metabolomics_26	targeted_metabolomics_27	targeted_metabolomics_28	targeted_metabolomics_29	targeted_metabolomics_30	targeted_metabolomics_31	targeted_metabolomics_32	targeted_metabolomics_33	targeted_metabolomics_34	targeted_metabolomics_35	targeted_metabolomics_36	targeted_metabolomics_37	targeted_metabolomics_38	targeted_metabolomics_39	targeted_metabolomics_40	targeted_metabolomics_41	targeted_metabolomics_42	targeted_metabolomics_43	targeted_metabolomics_44	targeted_metabolomics_45	targeted_metabolomics_46	targeted_metabolomics_47	targeted_metabolomics_48	targeted_metabolomics_49	targeted_metabolomics_50	targeted_metabolomics_51	targeted_metabolomics_52	targeted_metabolomics_53	targeted_metabolomics_54	targeted_metabolomics_55	targeted_metabolomics_56	targeted_metabolomics_57	targeted_metabolomics_58	targeted_metabolomics_59	targeted_metabolomics_60	targeted_metabolomics_61	targeted_metabolomics_62	targeted_metabolomics_63	targeted_metabolomics_64	targeted_metabolomics_65	targeted_metabolomics_66	targeted_metabolomics_67	targeted_metabolomics_68	targeted_metabolomics_69	targeted_metabolomics_70	targeted_metabolomics_71	targeted_metabolomics_72	targeted_metabolomics_73	targeted_metabolomics_74	targeted_metabolomics_75	targeted_metabolomics_76	targeted_metabolomics_77	targeted_metabolomics_78	targeted_metabolomics_79	targeted_metabolomics_80	targeted_metabolomics_81	targeted_metabolomics_82	targeted_metabolomics_83	targeted_metabolomics_84	targeted_metabolomics_85	targeted_metabolomics_86	targeted_metabolomics_87	targeted_metabolomics_88	targeted_metabolomics_89	targeted_metabolomics_90	targeted_metabolomics_91	targeted_metabolomics_92	targeted_metabolomics_93	targeted_metabolomics_94	targeted_metabolomics_95	targeted_metabolomics_96	targeted_metabolomics_97	targeted_metabolomics_98	targeted_metabolomics_99	targeted_metabolomics_100	targeted_metabolomics_101	targeted_metabolomics_102	targeted_metabolomics_103	targeted_metabolomics_104	targeted_metabolomics_105	targeted_metabolomics_106	targeted_metabolomics_107	targeted_metabolomics_108	targeted_metabolomics_109	targeted_metabolomics_110	targeted_metabolomics_111	targeted_metabolomics_112	targeted_metabolomics_113	targeted_metabolomics_114	targeted_metabolomics_115	targeted_metabolomics_116	targeted_metabolomics_117	targeted_metabolomics_118	targeted_metabolomics_119
204	10	16	0	7	13	0	0	1	13	6	13	25	12	6	8	9	9	16	12	0	3	9	6	9	0	7	13	5	10	8	16	13	4	12	0	11	13	15	13	13	23	0	13	11	8	0	0	15	0	12	5	0	7	10	14	9	12	1	9	0	2	0	13	11	4	3	12	1	4	6	13	17	5	0	0	0	7	20	12	20	8	10	19	0	3	11	0	5	0	1	16	0	16	10	0	0	13	0	1	0	0	0	6	18	0	0	7	15	9	8	20	11	0	0	13	10	0	8	12
205	8	0	11	10	19	20	15	0	9	0	0	16	13	13	8	16	8	7	14	11	16	13	4	2	11	5	14	0	11	13	10	10	12	16	6	2	15	3	0	16	15	11	9	8	9	13	11	0	0	7	16	15	13	6	17	10	15	10	0	9	6	0	0	9	8	13	13	19	0	0	20	0	23	18	10	0	13	17	1	1	16	21	16	19	6	10	3	18	6	12	17	8	6	0	9	11	9	0	8	17	6	9	0	5	11	22	6	0	0	11	0	13	14	0	15	14	13	16	3
206	0	16	0	8	0	21	0	12	0	8	0	5	17	16	0	4	5	0	13	7	16	8	20	6	0	3	7	15	21	15	2	0	0	16	2	8	8	11	13	7	9	12	6	15	5	7	3	0	7	0	10	2	0	2	18	0	12	0	2	7	0	15	13	9	0	1	0	9	0	5	12	0	4	0	0	1	13	8	0	13	4	12	16	12	4	15	9	8	9	5	7	0	9	6	0	0	14	7	9	4	0	14	5	12	0	16	6	4	9	12	0	3	9	13	6	5	11	3	0
207	16	6	15	0	16	0	11	13	0	7	19	0	0	10	8	0	4	12	7	17	10	8	14	3	6	13	13	8	6	0	8	10	14	7	0	14	20	14	0	11	11	15	17	3	5	9	6	7	6	0	0	0	8	19	7	0	0	18	16	12	13	29	8	0	11	3	6	15	0	9	16	13	1	13	9	3	11	0	16	11	7	0	19	10	17	0	17	0	0	13	12	2	0	0	11	6	0	0	5	16	0	12	14	9	5	6	10	13	6	3	10	0	0	10	0	0	9	17	9
208	11	0	14	8	0	0	2	16	15	0	6	8	8	9	9	8	4	0	13	6	1	12	16	10	10	7	13	9	1	13	5	18	5	16	5	3	0	6	9	2	15	8	5	1	0	0	1	18	13	0	11	12	18	10	17	16	7	17	0	15	15	0	13	7	9	9	4	6	8	8	0	6	14	10	7	0	9	3	0	8	11	8	0	9	14	8	2	0	0	13	7	15	10	14	8	0	2	6	19	4	2	10	13	9	8	9	16	11	13	4	8	7	14	1	8	15	16	0	12
209	0	9	1	9	10	19	0	3	13	7	0	11	8	6	0	8	0	0	13	11	5	17	6	14	3	2	0	12	10	23	18	18	20	0	10	17	0	14	19	13	13	4	14	5	16	11	9	9	9	13	8	0	10	0	16	9	17	12	2	1	5	0	14	1	1	14	16	0	5	15	12	0	9	8	0	14	13	12	10	0	11	0	0	0	4	8	4	10	8	0	15	13	5	0	13	4	0	16	10	0	0	0	0	6	10	17	15	11	25	0	0	11	12	19	1	0	17	4	0
210	20	14	10	12	8	8	10	0	15	1	9	12	8	15	0	11	6	1	6	9	12	0	6	0	0	6	7	0	6	11	0	3	13	4	17	4	11	0	15	10	9	6	14	4	8	0	16	11	13	14	16	6	5	12	0	10	4	7	0	3	5	13	0	7	13	9	0	14	13	18	17	0	11	16	4	0	1	0	0	18	0	11	10	6	10	10	0	14	10	9	12	8	12	12	16	15	11	11	0	10	13	4	1	0	5	9	13	15	3	0	4	0	9	9	3	10	16	0	9
211	14	14	12	2	10	12	15	10	5	11	7	10	14	8	0	4	10	13	1	8	7	13	8	16	0	0	18	1	0	8	9	0	7	13	12	15	6	12	15	12	16	0	12	2	0	8	1	0	15	6	0	2	14	1	17	0	8	6	11	9	8	0	2	12	15	7	0	16	9	11	15	0	6	5	6	11	15	15	8	0	0	6	15	0	17	9	10	5	0	13	0	16	3	14	21	14	0	10	0	12	17	0	15	14	5	17	0	0	14	14	0	10	0	8	0	0	18	4	17
212	15	13	0	8	0	17	10	0	0	2	8	9	7	2	8	0	12	13	0	0	12	13	0	9	5	15	12	9	8	5	6	15	3	8	7	6	13	0	4	9	7	5	7	15	10	0	24	14	7	14	13	15	18	8	8	9	1	9	0	8	10	15	7	0	0	0	9	7	12	16	6	6	17	6	10	5	13	10	10	11	13	0	11	6	9	5	0	10	0	13	8	14	9	0	9	0	0	5	0	9	9	8	0	0	1	0	6	10	0	13	1	0	0	22	14	2	0	4	0
213	10	4	8	11	12	12	8	5	14	0	15	0	4	12	11	0	0	0	14	10	20	0	7	14	11	7	0	18	16	3	4	9	7	13	0	16	10	19	19	16	17	0	11	13	9	5	16	4	5	11	6	20	0	0	12	8	0	0	1	0	12	11	0	4	9	5	14	11	11	9	13	8	7	0	9	14	0	0	9	21	8	16	0	11	0	0	2	0	7	2	10	4	9	14	13	0	10	3	8	18	10	11	12	10	0	18	9	11	11	0	9	15	13	10	9	20	14	8	2
214	7	14	9	6	16	13	0	4	0	14	17	0	18	18	12	7	9	0	7	10	0	11	6	14	9	8	12	6	11	18	20	8	0	4	10	12	0	20	9	4	9	11	15	0	3	8	13	17	13	7	2	11	12	16	10	3	0	2	13	12	7	18	11	0	9	2	10	11	11	13	12	0	13	9	7	12	5	12	4	9	9	13	9	3	4	11	1	4	11	14	14	0	10	8	4	2	3	0	8	14	12	4	0	11	14	0	4	17	25	15	19	5	0	0	0	0	8	7	0
215	7	0	0	3	0	0	0	15	0	3	0	11	12	0	0	13	15	4	1	7	9	11	9	10	10	12	0	11	10	0	1	16	12	0	8	3	15	1	15	4	7	13	15	0	0	15	0	13	0	0	0	16	0	20	13	0	0	6	6	0	13	3	8	2	18	10	9	0	17	9	0	11	0	6	6	13	0	0	7	5	12	14	12	12	16	9	16	12	8	4	8	8	11	11	10	6	7	2	7	0	7	0	7	11	9	0	0	5	2	14	8	23	10	11	14	11	7	6	0
216	4	11	10	0	4	15	0	10	5	0	2	3	20	5	2	15	5	9	16	11	14	0	14	10	0	18	10	0	7	6	11	8	21	6	8	15	17	6	0	3	0	10	13	3	11	11	12	9	6	13	15	13	13	12	11	0	12	13	12	11	12	14	9	12	0	14	5	9	20	14	0	8	8	18	16	12	8	4	7	0	10	0	11	17	14	3	0	0	15	18	17	12	0	6	10	0	5	0	0	8	11	17	19	0	3	10	11	0	5	15	9	13	13	17	0	6	8	0	18
217	18	0	12	9	1	7	12	0	5	0	4	11	17	13	6	3	10	4	15	17	14	7	21	15	6	0	0	14	9	14	3	0	0	14	1	10	8	6	3	8	0	0	0	14	13	8	22	0	0	0	9	12	14	18	8	0	7	4	0	0	7	0	0	6	12	10	15	8	5	19	0	0	8	12	13	9	10	12	13	10	0	12	5	3	16	7	11	9	8	8	10	3	9	19	10	0	15	15	10	0	4	18	0	12	0	6	1	0	15	19	15	12	9	13	13	8	17	2	12
218	14	13	0	8	2	21	0	8	14	13	8	14	7	3	8	15	12	16	2	7	3	16	3	15	15	10	0	3	0	21	0	6	0	0	2	0	2	0	6	6	7	11	10	4	13	13	13	7	0	17	3	0	3	8	12	17	12	12	7	21	8	6	0	5	24	24	12	15	17	18	11	16	11	12	16	1	1	5	0	14	0	11	0	8	10	19	13	8	10	6	13	16	7	9	11	22	9	0	0	6	4	0	4	0	15	5	5	10	13	8	10	2	13	11	9	7	13	2	11
219	11	15	9	16	15	7	17	9	8	11	13	13	10	16	0	19	9	0	6	10	16	4	0	6	8	11	12	13	8	0	6	10	8	12	18	13	8	12	4	13	15	16	8	2	15	3	19	6	13	15	8	1	11	0	8	5	0	8	8	0	22	3	5	3	18	11	8	8	13	11	3	9	11	10	15	4	0	0	1	9	0	0	5	20	15	8	7	0	12	10	3	10	3	0	9	5	0	12	2	6	0	19	0	0	13	10	17	0	10	5	11	0	6	16	15	6	15	0	6
220	19	4	5	4	11	10	15	7	16	1	0	7	14	12	3	12	16	9	0	14	11	7	0	5	0	13	6	19	0	19	0	21	8	4	15	11	0	11	10	15	18	0	16	0	12	9	6	16	0	11	9	0	17	8	0	9	0	0	0	4	8	12	0	0	0	7	10	0	0	4	6	7	10	12	14	18	14	14	9	0	13	10	7	6	13	2	0	20	4	11	8	8	16	8	15	0	11	10	0	5	0	11	12	0	0	12	0	8	12	15	0	3	15	12	1	11	17	10	4
221	7	0	0	17	6	13	1	4	8	0	23	8	12	14	12	14	3	12	0	21	17	8	11	2	0	12	1	7	0	13	21	17	6	17	3	12	16	5	2	0	7	12	16	0	0	4	14	8	6	0	13	11	26	10	0	2	22	0	0	5	0	7	0	10	2	16	0	6	12	13	9	7	11	10	0	1	16	16	11	15	2	16	13	8	0	3	0	0	7	16	0	9	12	6	7	9	10	0	0	17	10	15	9	13	0	7	15	2	0	4	13	12	9	4	5	8	0	10	17
222	7	7	0	0	8	8	18	17	17	18	0	14	12	0	6	7	0	17	13	18	12	0	14	2	11	10	0	11	11	19	0	6	11	13	6	10	16	0	6	1	6	9	3	12	9	2	15	14	0	18	0	11	4	7	6	18	1	15	0	3	12	0	0	12	0	11	10	0	9	14	13	10	15	0	1	0	13	7	12	12	14	0	0	14	2	17	10	16	8	11	10	13	0	11	14	9	11	8	0	0	14	2	20	9	0	6	11	11	0	4	0	4	8	10	5	19	0	0	13
223	12	1	8	9	15	0	5	6	12	0	14	0	16	9	14	14	13	9	4	7	12	8	12	13	0	0	0	0	2	5	15	8	14	1	8	12	0	6	10	0	0	5	0	15	0	7	2	10	9	9	0	9	18	0	13	0	8	9	11	11	11	14	12	9	0	12	8	0	10	14	13	24	0	8	1	3	0	14	5	12	7	14	15	11	15	13	13	11	11	0	11	0	9	0	14	6	15	9	13	8	9	17	5	16	4	15	18	6	13	2	3	11	13	0	7	17	13	0	16
224	7	11	0	15	8	19	0	19	14	8	9	14	6	7	0	7	16	18	5	0	0	0	14	12	2	12	19	0	9	8	0	17	13	2	0	13	3	3	13	11	3	12	9	18	16	6	0	16	0	10	0	12	6	0	16	16	10	9	0	3	0	16	8	0	0	21	18	3	13	0	15	10	11	5	16	4	0	5	9	13	0	9	11	21	14	4	10	0	12	15	12	0	11	8	0	0	22	11	2	13	7	9	1	12	1	13	0	11	14	13	0	14	3	3	11	4	7	0	20
225	0	8	0	4	14	0	5	18	18	7	3	15	0	11	14	8	9	11	11	8	18	12	2	0	13	14	9	6	16	0	10	8	10	7	12	9	13	0	16	0	10	1	9	11	10	15	9	0	9	0	2	7	12	8	14	0	0	8	2	1	0	15	12	10	0	0	5	11	0	6	12	2	0	10	11	13	6	11	12	6	0	13	15	0	19	13	10	7	12	18	0	9	4	0	17	8	5	0	8	2	7	0	0	1	5	0	14	12	12	0	17	5	0	0	10	15	0	11	8
226	9	6	8	3	9	11	11	8	11	2	8	0	8	3	17	11	22	14	8	0	2	0	0	6	10	9	8	12	0	8	15	18	16	11	8	0	10	12	4	11	9	17	8	11	14	9	20	10	10	17	5	8	9	3	9	16	11	13	9	6	6	11	1	7	2	4	0	15	0	12	13	11	12	0	6	4	4	0	20	10	21	13	9	7	12	16	9	0	11	13	1	3	15	0	6	6	15	0	10	7	13	11	15	8	0	6	5	5	2	13	14	1	10	5	13	10	7	11	15
227	8	9	7	6	15	11	8	10	9	2	16	23	0	7	3	13	10	10	4	13	0	9	0	0	4	14	6	9	13	11	14	0	11	9	4	14	0	8	0	21	1	12	14	12	6	13	4	15	6	9	11	11	2	12	14	8	10	10	17	0	13	7	7	12	0	17	0	16	0	4	6	17	4	15	0	0	8	12	14	12	19	13	11	13	4	0	0	12	11	5	11	10	0	0	7	14	11	7	15	16	6	15	0	3	7	16	11	18	6	9	11	9	2	6	0	7	11	9	10
228	12	9	14	0	16	4	8	18	0	12	6	0	17	0	9	16	1	14	0	14	0	7	4	11	11	8	16	3	0	13	7	19	9	5	15	7	13	0	14	10	0	0	12	13	11	7	10	8	5	15	6	10	0	0	14	0	2	18	14	11	8	11	11	10	11	0	2	0	13	20	0	0	0	4	0	13	3	13	0	13	11	6	16	5	11	8	7	0	1	3	17	9	4	0	18	0	20	14	4	14	0	0	0	0	0	10	19	7	8	12	7	12	8	15	0	3	3	7	8
229	15	0	16	9	6	8	14	0	12	13	4	4	0	0	8	21	7	13	13	8	8	5	8	7	15	3	16	14	6	11	11	0	15	12	4	0	14	16	2	12	3	11	0	0	1	0	13	0	12	15	12	17	0	0	0	21	4	12	11	11	0	7	15	9	0	8	12	9	8	0	11	0	15	12	0	7	3	11	11	1	0	9	14	7	8	0	0	0	19	6	0	3	0	4	6	12	6	11	17	15	0	15	4	3	16	4	0	10	0	14	7	7	8	0	0	0	0	15	17
230	2	6	12	6	0	4	17	15	11	11	20	11	2	13	21	0	6	0	15	5	14	14	15	10	20	14	0	11	0	0	17	12	15	17	0	12	0	11	3	10	12	18	0	10	11	0	6	12	12	3	0	7	19	0	5	14	14	7	11	2	18	0	1	4	2	3	19	11	0	16	15	13	10	10	9	14	13	0	6	0	16	12	17	7	3	4	8	10	10	15	10	12	9	9	13	0	15	12	9	11	8	15	18	4	11	2	0	13	13	10	14	12	16	12	13	0	4	7	5
231	0	14	0	14	14	14	4	11	16	0	4	7	16	12	0	6	8	0	8	10	0	7	6	8	10	14	8	7	14	0	11	10	9	9	13	0	0	0	20	0	0	6	9	0	5	4	17	11	5	12	12	0	0	0	6	11	21	4	14	0	17	15	0	0	0	16	18	4	0	7	7	10	8	2	13	9	17	13	15	12	11	7	12	10	7	9	14	0	7	7	11	0	3	12	10	13	15	10	12	0	0	6	3	14	9	7	0	16	3	18	6	9	12	14	12	16	2	0	12
232	0	17	0	17	0	12	9	18	0	17	0	4	0	10	6	16	0	0	17	16	9	7	13	10	1	3	5	14	4	13	18	15	8	0	22	15	7	10	16	14	12	0	13	9	6	4	14	3	3	15	0	3	0	0	0	4	9	0	12	3	15	12	0	7	8	0	7	7	15	15	16	0	8	15	1	14	11	0	0	12	11	8	3	11	0	0	8	12	14	0	2	12	7	4	5	7	4	6	13	12	0	16	0	4	0	13	5	0	7	9	0	9	13	8	10	5	8	12	0
233	0	7	8	18	7	4	1	0	11	12	10	3	0	12	9	15	19	13	14	4	3	9	10	22	0	2	0	11	15	10	6	10	22	22	10	15	8	1	14	14	10	0	16	17	12	7	12	0	7	10	7	12	10	10	0	3	11	10	2	2	17	17	5	0	15	0	10	0	13	11	8	13	14	16	2	13	1	14	16	15	9	10	0	3	12	13	5	14	0	0	5	5	15	15	0	16	5	15	15	9	11	14	10	18	8	10	6	2	18	16	9	15	0	0	0	4	8	0	1
234	8	14	16	6	7	13	8	8	0	11	5	8	5	6	3	16	5	15	10	6	7	7	13	13	10	0	15	12	0	14	0	16	6	14	15	16	8	10	7	16	17	0	13	7	10	2	0	13	12	0	1	12	9	6	0	8	7	7	5	12	18	5	15	17	22	0	9	9	6	11	0	15	14	0	12	5	15	12	7	15	0	10	14	10	7	0	15	9	0	9	5	9	11	13	4	7	9	9	12	9	3	10	7	15	0	8	9	4	13	14	5	9	10	13	11	12	0	12	3
235	18	7	0	9	8	0	14	0	10	0	8	12	21	11	5	14	0	11	0	13	0	9	17	4	6	0	0	10	0	8	0	0	0	9	4	13	19	0	4	0	0	10	4	14	0	8	0	0	0	10	8	0	22	11	5	8	16	8	8	1	3	11	8	0	12	0	8	2	9	7	13	8	4	5	3	6	10	10	20	8	0	8	7	0	5	12	10	7	3	13	13	3	8	16	7	3	11	0	0	8	0	13	0	1	12	15	3	13	7	14	0	6	12	12	4	8	14	18	3
236	13	14	8	10	0	10	20	14	7	10	13	13	6	9	13	5	7	4	14	14	7	9	10	19	7	17	5	1	6	11	0	18	18	10	8	8	0	14	0	12	19	0	13	24	6	16	10	1	4	8	9	17	5	13	4	6	7	0	0	11	19	0	11	9	0	13	11	18	9	12	0	0	11	1	5	0	11	11	16	0	7	4	9	6	9	11	0	16	6	12	17	0	14	11	0	21	13	0	5	6	16	5	12	1	19	14	10	7	7	0	7	6	9	4	15	1	0	0	0
237	12	0	0	5	0	5	11	5	0	11	1	20	0	0	12	0	0	7	0	7	0	6	5	0	14	12	0	18	0	11	14	19	14	9	16	19	12	6	13	24	14	0	0	8	0	13	14	19	0	0	0	8	7	6	8	11	0	15	11	7	11	12	3	0	17	12	13	14	0	0	13	12	11	7	2	11	0	12	15	9	9	11	12	12	11	14	16	9	0	7	22	0	12	9	11	9	11	14	0	12	20	20	11	5	0	13	24	10	14	7	0	10	10	12	11	12	3	9	13
238	15	8	0	9	10	16	0	10	11	7	0	0	4	5	19	18	0	0	7	9	14	0	9	7	14	0	11	15	13	5	9	7	17	12	0	12	5	4	9	11	12	0	17	0	15	13	0	18	0	10	12	3	10	18	1	16	0	15	6	5	0	19	13	0	2	4	0	10	11	6	4	18	18	17	14	0	2	19	14	0	10	8	2	4	8	8	9	13	12	10	19	10	9	19	20	17	0	16	3	15	12	0	0	20	14	4	11	3	14	5	10	19	14	16	12	11	7	2	8
239	16	2	8	17	0	8	8	15	11	12	6	15	13	2	11	0	7	15	15	8	2	0	8	10	8	20	11	17	0	0	14	6	17	6	0	17	20	4	17	0	0	7	10	16	11	13	5	0	3	17	5	10	15	9	12	0	19	0	6	3	9	0	12	16	9	19	12	11	13	7	4	0	9	9	0	8	3	22	16	13	9	0	16	4	5	12	9	18	9	0	18	14	3	12	21	8	9	19	16	9	6	20	9	0	13	12	9	13	0	9	19	9	13	0	0	7	9	0	15
240	14	9	0	0	9	6	2	12	16	0	5	17	0	8	13	14	4	13	11	0	5	7	0	7	9	19	0	7	11	0	8	5	0	7	17	18	7	13	13	2	13	3	0	14	5	6	11	0	5	17	0	8	6	0	12	6	0	10	14	0	14	12	12	16	0	14	3	10	11	15	0	0	7	5	0	15	3	19	0	15	9	17	0	11	10	8	9	9	2	0	2	7	10	2	13	20	7	8	13	6	12	0	13	13	10	17	11	6	13	22	4	10	11	3	0	13	9	9	3
241	10	6	0	10	13	9	17	5	10	5	3	7	6	0	17	0	8	10	11	9	17	20	14	4	10	0	15	12	3	18	10	0	11	26	10	9	13	0	12	8	0	7	16	9	8	12	11	0	10	0	14	7	18	0	20	6	12	10	23	12	14	13	11	1	0	10	15	0	6	11	12	0	0	7	8	16	2	1	12	12	7	10	14	16	12	3	7	11	0	9	10	12	0	0	11	15	0	0	8	1	0	9	9	0	13	5	15	9	12	0	13	0	0	10	11	8	13	5	16
242	8	16	4	9	16	0	3	13	17	8	6	4	10	7	8	3	14	2	9	1	12	16	0	12	9	5	8	0	3	6	5	11	9	9	14	9	9	10	2	11	2	0	0	6	0	0	12	0	10	15	15	0	7	12	9	9	12	11	6	0	18	14	8	13	14	0	9	9	9	15	7	0	0	3	3	15	10	1	0	11	8	4	10	14	10	7	4	18	12	12	13	9	0	8	10	8	18	4	15	5	0	10	14	0	13	14	0	19	11	15	12	0	0	17	0	15	5	0	11
243	4	10	0	0	15	14	13	15	0	13	17	0	2	8	0	0	7	0	13	12	15	0	5	20	16	4	8	13	0	6	9	12	5	8	7	6	0	0	9	0	18	11	0	22	8	12	3	20	13	20	5	3	3	10	7	12	6	7	14	10	15	7	6	3	6	11	8	6	8	12	17	10	11	11	5	12	7	0	3	0	10	8	0	18	16	12	16	0	14	9	11	15	7	11	7	0	0	5	0	15	0	10	3	7	0	11	13	2	6	15	9	12	13	9	16	20	6	5	0
244	4	11	14	0	13	5	17	12	17	3	8	7	7	9	0	14	10	13	10	20	4	15	14	0	0	7	4	6	12	10	2	11	15	13	0	13	7	11	8	3	5	14	1	11	11	11	16	0	0	17	16	0	10	17	13	0	4	0	11	17	7	0	0	15	10	0	5	12	12	0	5	18	7	1	7	19	7	21	0	12	22	9	6	12	14	5	12	4	19	15	12	10	16	15	10	0	10	0	9	9	4	0	8	8	8	15	9	0	10	0	0	3	11	8	7	13	15	7	8
245	0	5	9	20	0	14	6	10	14	0	13	9	2	6	0	2	11	6	10	8	13	0	5	17	16	13	11	5	0	6	0	21	11	5	4	6	0	4	9	7	0	9	3	13	6	18	8	0	0	11	12	12	15	18	5	1	0	0	0	11	8	10	8	7	8	2	0	12	4	10	6	5	13	7	8	0	10	8	12	10	6	4	10	14	14	0	0	0	13	6	0	0	10	6	15	8	20	11	12	20	20	10	0	12	14	7	15	16	14	7	0	7	0	0	19	11	15	19	12
246	10	7	13	0	8	2	6	14	20	0	15	15	0	10	0	10	5	3	0	10	3	0	0	9	18	4	15	8	0	0	12	12	3	9	1	7	9	0	12	9	6	2	0	13	8	14	13	19	0	22	13	9	8	14	15	10	0	0	14	8	16	11	7	11	13	9	9	21	16	1	6	10	11	0	10	10	13	14	12	0	9	0	9	6	0	11	0	0	23	12	5	14	4	8	19	2	12	1	7	11	13	12	4	7	8	15	0	0	12	6	10	13	11	11	5	0	9	11	0
247	17	0	0	7	15	17	0	5	0	16	16	1	9	14	0	13	5	6	12	0	0	15	19	0	0	13	18	7	6	15	11	0	8	8	8	11	0	6	13	4	0	10	0	0	0	0	18	0	13	16	7	8	9	0	5	15	9	10	3	9	13	4	10	14	16	6	23	15	11	5	0	13	15	22	6	10	12	9	15	0	3	15	0	8	15	14	4	9	8	0	5	5	13	0	11	13	4	15	5	0	0	9	0	8	11	14	9	6	7	15	12	21	18	13	15	11	10	15	7
248	10	11	2	0	7	6	18	16	10	19	0	7	0	9	5	0	7	9	18	19	0	7	0	11	13	19	10	13	11	7	15	12	20	8	9	10	12	4	3	12	4	16	8	11	12	13	1	10	18	15	0	14	4	4	0	13	3	0	4	0	13	9	0	7	12	0	20	12	18	11	10	0	8	4	7	7	10	0	13	14	0	12	10	0	10	1	0	15	6	0	8	0	7	0	11	7	12	17	7	6	17	8	14	16	19	10	9	6	3	13	11	0	16	11	1	0	10	9	0
249	7	12	9	5	0	10	9	14	0	0	13	14	15	11	1	0	13	9	4	11	9	0	0	15	6	9	0	7	19	14	8	0	12	0	8	3	16	6	4	0	11	18	11	15	18	13	3	8	18	2	0	11	9	15	0	4	12	14	3	8	15	0	6	10	9	10	2	15	7	14	11	9	8	5	4	13	12	12	4	8	8	0	6	5	0	12	8	13	23	12	15	10	13	7	5	0	6	12	0	3	0	11	7	8	5	24	11	11	10	10	5	15	0	18	0	12	15	0	15
250	14	21	13	12	4	2	11	1	16	9	0	9	3	0	12	0	10	0	15	12	0	7	8	10	14	13	13	10	19	12	0	23	6	4	18	0	7	14	11	3	9	7	0	17	0	16	8	0	15	2	10	13	18	0	17	13	23	0	13	3	15	5	10	8	3	15	2	3	10	16	14	0	5	0	19	11	4	16	2	7	11	16	15	2	6	0	15	22	5	7	7	7	14	1	19	13	14	0	13	10	6	9	19	0	0	12	15	8	12	0	7	0	0	8	0	11	10	16	2
251	4	12	22	0	10	0	2	6	7	5	15	14	8	19	12	13	15	0	4	7	11	16	6	4	6	13	12	13	11	6	0	5	0	3	6	12	9	13	6	13	1	0	6	13	2	8	0	20	0	5	0	9	10	0	8	9	0	8	0	0	12	0	18	3	20	11	6	6	6	10	13	7	0	4	2	9	12	1	15	0	10	7	4	11	4	13	0	5	8	14	11	18	10	7	14	9	15	1	11	11	5	12	10	10	7	0	6	7	16	0	7	6	13	7	8	2	2	16	3
252	14	18	0	6	7	16	0	6	0	7	13	7	15	12	19	3	12	0	0	6	12	8	16	2	21	11	0	7	1	0	8	14	7	0	7	21	14	1	0	4	10	13	11	0	7	9	5	20	6	0	2	8	0	8	0	17	11	3	9	11	9	16	5	0	9	9	14	10	0	0	0	5	0	0	10	13	9	0	14	0	0	1	3	12	9	0	0	10	6	11	14	3	14	8	12	16	0	1	11	4	9	0	0	3	16	9	21	10	0	8	20	0	11	0	9	5	10	20	0
253	7	0	0	0	11	12	12	4	7	5	13	8	7	8	1	9	11	4	16	5	6	2	12	0	11	9	13	12	9	16	0	18	13	13	0	19	0	1	5	0	11	15	7	13	13	19	7	10	0	4	19	6	9	7	0	0	8	15	10	19	16	12	8	17	0	9	11	10	7	15	1	11	18	10	11	0	7	8	0	14	5	18	9	13	5	0	12	8	8	13	10	0	16	15	10	11	0	6	5	13	18	1	7	14	2	4	15	12	14	0	5	9	7	7	0	9	0	14	8
254	17	11	0	0	21	4	2	16	11	15	9	0	1	0	0	0	7	13	9	16	4	0	0	7	19	5	9	13	13	6	13	5	4	13	17	9	13	18	0	7	10	8	13	16	7	4	11	11	0	4	9	14	2	0	11	8	5	20	15	1	12	18	6	9	14	8	0	0	11	4	12	19	6	0	15	11	2	15	18	6	5	10	0	8	12	5	19	6	14	0	0	15	10	9	0	8	13	6	0	12	5	12	12	9	3	20	2	0	0	14	0	9	19	0	10	12	0	5	5
255	13	5	0	0	14	9	12	9	8	10	0	9	3	12	10	10	0	0	5	11	9	8	3	20	19	18	4	5	0	11	15	8	0	5	0	0	10	2	17	9	0	0	3	9	15	17	6	0	8	0	7	12	16	9	10	6	14	16	13	11	0	0	11	6	20	14	0	0	4	15	15	9	15	14	13	15	3	10	9	7	0	10	9	16	20	15	17	12	0	17	15	0	0	0	0	20	8	16	0	18	5	17	5	14	11	0	8	7	0	8	0	5	23	10	0	13	0	0	10
